Sno,Year,"Population, total Value",CO2 emissions,RainFall Mean (),Urban population (% of total population) Value,Agricultural land (sq. km) Value,"Mortality rate, under-5 (per 1,000 live births) Value","Agriculture, forestry, and fishing, value added (% of GDP) Value",Agricultural land (% of land area) Value,,,,,,,,,,,,,,,,
1,1971,59734479,11441.04,17.02884917,25.084,354850,187.1,31.96629324,46.0318078,,,,,,,,,,,,,,,,
2,1972,61381982,9292.178,22.92349667,25.353,355050,184,32.80229729,46.05775218,,,,,,,,,,,,,,,,
3,1973,63099404,9493.863,26.46456833,25.671,364000,181.2,32.45866177,47.21876297,,,,,,,,,,,,,,,,
4,1974,64905996,9765.221,17.7767225,26.005,357400,178.5,31.87668838,46.36259859,,,,,,,,,,,,,,,,
5,1975,66816875,11074.34,30.5011225,26.341,360350,176,30.16018636,46.74527812,,,,,,,,,,,,,,,,
6,1976,68834324,10538.958,33.65308583,26.681,357120,173.7,29.40842564,46.32627646,,,,,,,,,,,,,,,,
7,1977,70958168,10905.658,24.60518417,27.023,359130,171.5,29.36132703,46.58701743,,,,,,,,,,,,,,,,
8,1978,73197254,12200.109,31.13002833,27.368,364170,169.4,28.6768292,47.24081569,,,,,,,,,,,,,,,,
9,1979,75561128,13072.855,27.368945,27.715,363370,167.2,27.77980145,47.13703819,,,,,,,,,,,,,,,,
10,1980,78054346,13938.267,24.89661667,28.066,374160,165.1,26.54550579,48.53673724,,,,,,,,,,,,,,,,
11,1981,80680461,14143.619,27.62843833,28.38,365040,162.9,27.46229277,47.35367372,,,,,,,,,,,,,,,,
12,1982,83431597,15823.105,30.51863833,28.619,385090,160.6,28.44776792,49.95459734,,,,,,,,,,,,,,,,
13,1983,86285936,17480.589,31.63848083,28.859,364090,158.2,27.27320129,47.23043794,,,,,,,,,,,,,,,,
14,1984,89213708,19519.441,23.49638333,29.101,375000,155.7,24.90459788,48.64570361,,,,,,,,,,,,,,,,
15,1985,92191505,21866.321,20.7937675,29.344,371180,153.1,25.68912459,48.15016604,,,,,,,,,,,,,,,,
16,1986,95215375,22937.085,29.1173075,29.588,355710,150.5,25.03265103,46.14336862,,,,,,,,,,,,,,,,
17,1987,98285762,25063.945,19.93579917,29.833,366710,147.8,23.63545213,47.57030926,,,,,,,,,,,,,,,,
18,1988,101389603,27352.153,26.93608833,30.08,353470,145.1,23.15332349,45.85279161,,,,,,,,,,,,,,,,
19,1989,104512874,29442.343,26.21584167,30.327,358600,142.5,23.91363374,46.51826484,,,,,,,,,,,,,,,,
20,1990,107647918,33153.347,32.24276167,30.576,352060,139.7,23.06707339,45.66988377,,,,,,,,,,,,,,,,
21,1991,110778655,32339.273,24.05054083,30.826,352700,136.9,22.84244562,45.75290577,,,,,,,,,,,,,,,,
22,1992,113911126,35001.515,31.54837833,31.077,353800,134.1,23.31001292,45.89559983,,,,,,,,,,,,,,,,
23,1993,117086680,38415.492,20.73338917,31.329,357500,131,22.19793997,46.37557078,,,,,,,,,,,,,,,,
24,1994,120362764,43021.244,35.2729825,31.582,357900,127.8,22.75282452,46.42745953,,,,,,,,,,,,,,,,
25,1995,123776835,43728.975,29.38667,31.836,360260,124.5,23.42187937,46.73360315,,,,,,,,,,,,,,,,
26,1996,127349293,50219.565,28.55422917,32.092,361720,121.1,23.19579581,46.92299709,,,,,,,,,,,,,,,,
27,1997,131057432,49398.157,30.67739583,32.348,366690,117.6,24.48425079,47.56771482,,,,,,,,,,,,,,,,
28,1998,134843233,52621.45,25.0761675,32.585,367600,114.2,25.30313827,47.68576173,,,,,,,,,,,,,,,,
29,1999,138624625,52489.438,21.1350625,32.783,367560,110.9,25.16928551,47.68057285,,,,,,,,,,,,,,,,
30,2000,142343583,55437.706,15.98308,32.982,366980,107.8,25.61725958,47.60533416,,,,,,,,,,,,,,,,
31,2001,145978408,55133.345,19.48818167,33.18,369720,105,24.19827461,47.9607721,,,,,,,,,,,,,,,,
32,2002,149549695,53703.215,17.45571333,33.38,368840,102.4,23.06293464,47.84661685,,,,,,,,,,,,,,,,
33,2003,153093371,44249.689,32.17392417,33.58,368420,100.2,22.8647397,47.79213367,,,,,,,,,,,,,,,,
34,2004,156664698,46372.882,21.4776975,33.781,360450,98.1,23.08295419,46.75825031,,,,,,,,,,,,,,,,
35,2005,160304007,48404.4,26.97424,33.982,359650,96.3,22.96041898,46.65447281,,,,,,,,,,,,,,,,
36,2006,164022626,54264.266,30.47072917,34.184,361350,94.5,21.60797745,46.875,,,,,,,,,,,,,,,,
37,2007,167808106,57923.932,26.53999583,34.387,360130,92.7,21.80047244,46.71673931,,,,,,,,,,,,,,,,
38,2008,171648984,58976.361,28.10298917,34.59,353130,90.9,22.50026603,45.80868618,,,,,,,,,,,,,,,,
39,2009,175525610,58356.638,23.55043333,34.793,352770,89.1,22.71733001,45.7619863,,,,,,,,,,,,,,,,
40,2010,179424643,62195.987,32.0799,34.997,352420,87.1,23.28158964,45.71658364,,,,,,,,,,,,,,,,
41,2011,183340168,60553.171,26.79003,35.202,359360,85,25.12918271,46.61685347,,,,,,,,,,,,,,,,
42,2012,187280125,63695.79,22.83523417,35.408,360630,82.8,23.71024867,46.78160025,,,,,,,,,,,,,,,,
43,2013,191260799,69500.651,29.1535375,35.613,362800,80.6,23.83211646,47.06309672,,,,,,,,,,,,,,,,
44,2014,195305012,72943.964,22.957235,35.819,362520,78.3,23.74454012,47.0267746,,,,,,,,,,,,,,,,
